Company Name,Phone,Email,Contact Name,Title,Source,Verification Date
AKMETAL SAC VE İMALAT SANAYİ A.Ş.,+90 224 242 02 02,info@akmetalas.com,,,Company website,2024-06-03
Coşkunöz Metal Form Makina Endüstri ve Ticaret A.Ş.,+90 224 280 01 00,,,www.coskunoz.com.tr,Company website,2024-06-03
Ototrim Panel Sanayi ve Ticaret A.Ş.,+90 224 243 81 40,info@ototrim.com,,,Company database,2024-06-03
Borçelik Çelik Sanayii Ticaret A.Ş.,+90 224 280 40 00,infobrc@borcelik.com,,,Company website,2024-06-03
Martur Automotive Seating Systems,+90 224 294 90 00,info@marturfompak.com,,,Company website,2024-06-03
Bosch Rexroth Türkiye,+90 224 275 00 00,info@boschrexroth.com.tr,,,BOSB contact,2024-06-03
AKWEL Bursa Turkey Otomotiv A.Ş.,+90 224 280 68 00,info@akwel-automotive.com,,,NOSAB directory,2024-06-03
Oyak Renault Bursa,+90 224 219 45 00,,,kariyer@oyak-renault.com,Company website,2024-06-03
Karsan Otomotiv,+90 224 484 21 80,yatirimciiliskileri@karsan.com.tr,,,Company website,2024-06-03
TOFAŞ Türk Otomobil Fabrikası,+90 224 444 00 00,info@tofas.com.tr,,,Company website,2024-06-03
Bursa Çelik Servis Merkezi (NOSAB),+90 224 324 16 01,,,korumuz@hascelik.com,NOSAB contact,2024-06-03
Toyotetsu Otomotiv Parçaları,+90 262 658 87 10,,,www.toyotetsu.com.tr,Kocaeli plant,2024-06-03
