Company Name,Phone,Email,Contact Name,Title,Source,Verification Date
BOURBON BURSA OTOMOTİV PLASTİK A.Ş.,+90 224 493 26 14,info@plastivaloire.com,,,Kayapa OSB directory,2024-06-03
A-PLAS Genel Otomotiv Mamülleri,+90 224 707 00 77,info@a-plasltd.com.tr,,,DOSAB contact,2024-06-03
SVB Grup Otomotiv,+90 224 411 04 01,satis@svbotomotiv.com.tr,,,Company website,2024-06-03
Toksan Otomotiv,+90 224 411 19 50,toksan@toksanotomotiv.com,,,Company website,2024-06-03
KAS Otomotiv,+90 224 482 24 50,info@kasotomotiv.com.tr,,,Company website,2024-06-03
CT Otomotiv Yan San.,+90 224 411 12 12,,,info@etabal.com,NOSAB contact,2024-06-03
CONTITECH,+90 224 411 09 00,info@nosab.org.tr,,,NOSAB management,2024-06-03
BOY TEKNİK METAL OTOMOTİV,+90 224 411 09 00,info@nosab.org.tr,,,NOSAB directory,2024-06-03
BURÇAK METAL OTO YAN SAN,+90 224 411 09 00,info@nosab.org.tr,,,NOSAB directory,2024-06-03
AGOSAN Otomotiv,+90 224 411 09 00,info@nosab.org.tr,,,Uludağ OSB referral,2024-06-03
