Company Name,Address,Phone,Email,Sector,Employee Count,Tier,OSB,Contact Notes
AKMETAL SAC VE İMALAT SANAYİ VE TİCARET A.Ş.,Işıktepe OSB Mah. Park Cad. No:19 Nilüfer/BURSA,+90 224 242 02 02,info@akmetalas.com,Otomotiv Yan Sanayi,Unknown,Tier-2,BOSB,Automotive sub-industry
Coşkunöz Metal Form Makina Endüstri ve Ticaret A.Ş.,Organize Sanayi Bölgesi Mavi Cadde No:5 Nilüfer 16159 Bursa,+90 (224) 280 01 00,Unknown,Otomotiv Yan Sanayi,1773,Tier-1,BOSB,1773 employees - Pressed sheet metal parts
Ototrim Panel Sanayi ve Ticaret A.Ş.,Fethiye OSB Mah. Turkuaz Cad. No:28 16159 Nilüfer/Bursa,+90 224 243 81 40,info@ototrim.com,Otomotiv İç Sistemler,501-1000,Tier-1,BOSB,Ceiling systems and door panels since 1993
Borçelik Çelik Sanayii Ticaret A.Ş.,Ata Mah. 125 No'lu Sokak No:1 16600 Gemlik BURSA,+90 224 280 40 00,Unknown,Çelik Otomotiv,Unknown,Tier-1,Gemlik,Steel service center - also in Nilüfer OSB
Martur Automotive Seating Systems,Işıktepe OSB Mah. Kahverengi Cad. No:9 Nilüfer/BURSA,+90 224 294 90 00,Unknown,Otomotiv Koltuk Sistemleri,Unknown,Tier-1,BOSB,Seating systems manufacturer
AKWEL Bursa Turkey Otomotiv A.Ş.,Minareliçavuş OSB Mah. Ceviz Cad. No:17 16145 Nilüfer/BURSA,+90 224 280 68 00,info@akwel-automotive.com,Otomotiv Parçaları,Unknown,Tier-2,NOSAB,Fluid management mechanisms structural parts
BOURBON BURSA OTOMOTİV PLASTİK A.Ş.,Kayapa OSB Kayapa Mah. Sanayi Bulvarı No:31/C Nilüfer/Bursa,+90 224 493 26 14,Unknown,Plastik Otomotiv Yan Sanayi,Unknown,Tier-2,Kayapa OSB,Plastic parts for automotive
A-PLAS Genel Otomotiv Mamülleri San. ve Tic. Ltd. Şti.,Demirtaş Dumlupınar OSB Mah. Asri Sokak No:78 Osmangazi/Bursa,+90 (224) 707 00 77,info@a-plasltd.com,Otomotiv Mamülleri,Unknown,Tier-2,DOSAB,3 locations in Bursa - 54914 m²
Bosch Sanayi ve Ticaret A.Ş.,Minareliçavuş Bursa OSB Mah. Yeşil Cad. No:15 Nilüfer/Bursa,+90 224 219 25 00,Unknown,Otomotiv Sistemleri,Unknown,Tier-1,BOSB,Also has Aftermarket at Yeşil Cad. No:27
Toyotetsu Otomotiv Parçaları San. ve Tic. A.Ş.,TOSB Otomotiv OSB Mah. 5. Cad. No:4 (Gebze/Kocaeli),+90 (262) 658 87 10,Unknown,Otomotiv Parçaları,Unknown,Tier-1,TOSB,Toyota supplier - may have Bursa operations
