Company Name,Phone,Email,Address,Tier,OSB,Sector,Employee Count,Source,Verification Date,Status,Tier_1_Priority
AKMETAL SAC VE İMALAT SANAYİ A.Ş.,+90 224 242 02 02,info@akmetalas.com,Işıktepe OSB Mah. Park Cad. No:19 Nilüfer/BURSA,Tier-2,BOSB,Otomotiv Yan Sanayi,200,Company website,2024-06-03,Verified,No
Coşkunöz Metal Form Makina Endüstri ve Ticaret A.Ş.,+90 224 280 01 00,,Organize Sanayi Bölgesi Mavi Cadde No:5 Nilüfer 16159 Bursa,Tier-1,BOSB,Otomotiv Yan Sanayi,1773,Company website,2024-06-03,Verified,Yes
Ototrim Panel Sanayi ve Ticaret A.Ş.,+90 224 243 81 40,info@ototrim.com,Fethiye OSB Mah. Turkuaz Cad. No:28 16159 Nilüfer/Bursa,Tier-1,BOSB,Otomotiv İç Sistemler,501-1000,Company database,2024-06-03,Verified,Yes
Borçelik Çelik Sanayii Ticaret A.Ş.,+90 224 280 40 00,infobrc@borcelik.com,Ata Mah. 125 No'lu Sokak No:1 16600 Gemlik BURSA,Tier-1,Gemlik,Çelik Otomotiv,Unknown,Company website,2024-06-03,Verified,Yes
Martur Automotive Seating Systems,+90 224 294 90 00,info@marturfompak.com,Işıktepe OSB Mah. Kahverengi Cad. No:9 Nilüfer/BURSA,Tier-1,BOSB,Otomotiv Koltuk Sistemleri,Unknown,Company website,2024-06-03,Verified,Yes
Bosch Rexroth,+90 224 275 00 00,info@boschrexroth.com.tr,Işıktepe OSB Mahallesi Siyah Cad. No:29 Nilüfer/Bursa,Tier-1,BOSB,Otomotiv Sistemleri,Unknown,BOSB contact,2024-06-03,Verified,Yes
AKWEL Bursa Turkey Otomotiv A.Ş.,+90 224 280 68 00,info@akwel-automotive.com,Minareliçavuş OSB Mah. Ceviz Cad. No:17 16145 Nilüfer/BURSA,Tier-2,NOSAB,Otomotiv Parçaları,Unknown,NOSAB directory,2024-06-03,Verified,No
BOURBON BURSA OTOMOTİV PLASTİK A.Ş.,+90 224 493 26 14,info@plastivaloire.com,Kayapa OSB Kayapa Mah. Sanayi Bulvarı No:31/C Nilüfer/Bursa,Tier-2,Kayapa OSB,Plastik Otomotiv Yan Sanayi,Unknown,Kayapa OSB directory,2024-06-03,Verified,No
A-PLAS Genel Otomotiv Mamülleri,+90 224 707 00 77,info@a-plasltd.com.tr,Demirtaş Dumlupınar OSB Mah. Asri Sok. No:78 Osmangazi/Bursa,Tier-2,DOSAB,Otomotiv Mamülleri,Unknown,DOSAB contact,2024-06-03,Verified,No
Bosch Sanayi ve Ticaret A.Ş.,+90 224 219 25 00,,Minareliçavuş Bursa OSB Mah. Yeşil Cad. No:15 Nilüfer/Bursa,Tier-1,BOSB,Otomotiv Sistemleri,Unknown,BOSB contact,2024-06-03,Verified,Yes
